record_id,collection_zone,district,ward_number,collection_date,collection_time,waste_source,collection_point_id,latitude,longitude,waste_category,sub_waste_type,waste_weight_kg,waste_volume_m3,moisture_content_pct,organic_content_pct,plastic_content_pct,metal_content_pct,glass_content_pct,paper_content_pct,hazardous_content_pct,contamination_level,odor_level,temperature_c,humidity_pct,rainfall_mm,air_quality_index,collection_frequency_days,bin_fill_level_pct,overflow_status,vehicle_type,vehicle_capacity_kg,distance_to_processing_km,travel_time_min,fuel_consumption_l,traffic_density,processing_facility,recycling_feasibility_score,compost_quality_score,energy_recovery_score,landfill_priority_score,resource_recovery_score,collection_priority_score,route_efficiency_score,operational_cost_usd,carbon_emission_kg,farmland_reuse_potential,management_decision
SWM_100015,Central Zone,District_D,42,2024-09-21,14:51,Market,CP_1273,30.955792,90.898926,Organic,Crop Residue,91.14,6.03,9.89,54.95,35.32,44.39,14.04,7.02,2.14,7.62,6.18,20.73,26.31,84.12,192,3,25.82,No,Auto Tipper,1232,49.49,175,28.84,Moderate,Waste Processing Unit,8.13,8.48,98.66,37.43,37.06,81.28,94.72,592.16,91.64,Low,Recycling
SWM_100016,North Zone,District_B,13,2025-05-03,07:01,Market,CP_3416,18.911528,70.421521,Mixed,Municipal Mixed,626.17,6.79,41.06,90.64,8.9,24.63,0.45,28.12,0.84,1.19,1.18,35.53,75.95,70.0,72,3,96.97,No,Mini Truck,5514,23.12,160,12.86,Low,Recovery Center,86.86,22.36,96.32,1.22,96.99,4.32,89.11,335.51,119.19,Medium,Energy Recovery
SWM_100017,North Zone,District_E,18,2024-08-18,23:26,Market,CP_6745,10.1401,84.061774,Plastic,PET,776.06,6.37,58.5,69.57,36.36,31.38,23.37,54.07,0.68,2.81,9.5,42.04,54.17,74.42,204,8,42.19,Yes,Auto Tipper,8585,12.1,27,19.62,Low,Recycling Plant,35.34,58.37,7.77,97.44,98.62,69.82,53.61,213.34,98.59,High,Energy Recovery
SWM_100018,South Zone,District_C,21,2025-02-06,23:44,Market,CP_1329,27.857204,72.715891,Mixed,Mixed Wet,730.52,9.91,85.73,72.57,49.07,20.91,37.31,51.96,0.68,0.26,3.76,39.88,94.05,18.05,35,4,67.53,No,Electric Vehicle,2331,23.47,68,38.86,Moderate,Composting Facility,84.21,83.83,46.87,41.48,27.34,5.64,86.47,495.22,119.97,Low,Recycling
SWM_100019,East Zone,District_E,4,2024-08-16,15:01,Institutional,CP_5703,36.902468,84.107519,Mixed,Mixed Wet,619.81,11.35,77.22,24.73,36.04,6.46,38.16,36.37,3.43,6.72,6.18,27.67,28.52,80.59,172,3,61.62,No,Electric Vehicle,4702,46.57,53,21.77,Moderate,Composting Facility,85.22,55.19,56.09,87.67,40.35,13.4,2.88,462.88,76.34,High,Composting
SWM_100020,Central Zone,District_H,17,2025-05-13,07:33,Residential,CP_9026,28.418313,74.175961,Paper,Office Paper,126.37,0.37,34.8,58.99,31.38,21.87,36.17,20.9,7.71,7.84,3.97,34.8,84.68,113.94,326,6,31.77,No,Auto Tipper,8367,55.67,166,20.7,High,Composting Facility,25.82,45.91,98.0,49.26,32.88,63.34,24.01,82.48,19.82,High,Landfill
SWM_100021,Suburban Zone,District_C,35,2024-12-01,04:12,Market,CP_4451,11.713329,72.405178,Metal,Copper,128.29,7.76,20.46,34.57,71.74,23.7,26.7,10.34,2.88,0.41,1.69,25.52,33.28,10.64,207,5,29.65,Yes,Dump Truck,9253,28.19,146,9.84,High,Transfer Station,36.43,50.34,69.04,3.93,79.94,62.79,8.18,529.2,110.9,High,Landfill
SWM_100022,West Zone,District_E,14,2024-10-16,03:04,Institutional,CP_5273,9.771261,76.029452,Metal,Aluminum,648.84,9.03,20.68,20.93,29.64,24.23,24.73,22.13,6.94,7.47,0.37,24.82,73.5,107.42,89,9,60.93,Yes,Electric Vehicle,3290,32.39,124,6.07,High,Transfer Station,44.74,53.26,24.25,26.92,37.73,2.01,32.21,158.41,42.66,Medium,Recycling
SWM_100023,Suburban Zone,District_A,21,2024-12-16,21:18,Hospital,CP_2713,11.473102,93.825291,Metal,Iron,483.0,8.21,72.08,49.84,6.95,26.86,23.47,44.73,6.47,1.28,2.84,27.8,68.44,68.49,34,3,48.49,No,Electric Vehicle,6483,59.2,91,25.02,High,Recycling Plant,23.72,10.18,15.29,24.6,16.07,18.66,28.51,137.09,108.13,High,Energy Recovery
SWM_100024,Central Zone,District_C,30,2025-07-29,02:32,Market,CP_4050,10.326779,83.21083,Paper,Newspaper,340.11,11.79,14.52,39.79,77.56,43.28,32.68,15.47,2.56,6.69,9.29,33.03,62.87,33.6,254,10,81.56,No,Auto Tipper,10436,12.04,116,14.3,High,Waste Processing Unit,42.54,50.76,24.24,11.48,61.06,28.86,58.12,126.44,60.33,Medium,Recycling
SWM_100025,Central Zone,District_F,39,2024-09-28,16:58,Industrial,CP_8906,23.445094,69.502883,Plastic,Plastic Bags,282.55,1.79,10.39,99.0,25.79,40.49,10.19,40.89,11.4,5.96,4.72,29.12,46.17,111.54,183,1,86.45,Yes,Auto Tipper,2767,57.94,112,6.72,Moderate,Transfer Station,73.09,93.83,18.12,6.65,74.11,57.45,84.18,118.27,96.46,Low,Composting
SWM_100026,North Zone,District_C,33,2025-03-13,17:21,Commercial,CP_5924,13.847192,72.746022,Glass,Jar,148.13,9.81,61.54,52.31,28.71,43.86,15.7,49.0,6.59,3.77,4.63,26.14,76.07,60.33,320,3,38.58,Yes,Dump Truck,1881,54.07,28,16.59,Moderate,Composting Facility,54.36,90.65,62.42,11.69,93.98,62.77,33.49,117.99,96.31,Medium,Energy Recovery
SWM_100027,Suburban Zone,District_C,30,2024-10-07,18:04,Residential,CP_3416,25.98211,83.470372,Glass,Jar,717.24,9.51,17.89,31.17,19.88,37.2,1.34,34.19,11.44,8.77,3.42,40.17,28.3,101.57,118,5,30.2,No,Mini Truck,4024,24.44,65,32.3,Low,Waste Processing Unit,14.99,22.93,72.23,72.0,64.11,69.39,54.27,181.01,44.76,High,Energy Recovery
SWM_100028,West Zone,District_C,44,2024-10-26,01:39,Market,CP_7131,13.266334,94.345066,Mixed,Mixed Dry,475.05,4.93,44.27,94.73,12.27,29.31,20.24,36.69,0.27,8.72,9.32,33.26,72.25,110.7,274,3,76.58,No,Mini Truck,8713,10.0,145,23.9,High,Waste Processing Unit,60.67,42.41,73.64,93.44,92.56,45.08,11.32,591.51,101.47,Low,Landfill
SWM_100029,Urban Zone,District_G,54,2025-07-13,07:08,Institutional,CP_4977,11.615218,94.704415,Plastic,PET,698.52,6.32,55.26,39.9,4.38,16.76,32.11,0.28,5.0,3.98,5.37,42.84,45.98,41.63,228,3,79.0,No,Compactor Truck,7551,27.68,88,10.53,Moderate,Waste Processing Unit,45.24,14.09,17.64,49.84,41.89,91.48,36.24,365.13,77.71,Low,Energy Recovery
SWM_100030,South Zone,District_F,32,2025-07-29,19:04,Hospital,CP_1440,8.379739,87.242584,Glass,Jar,158.87,11.54,17.64,41.46,6.83,49.84,20.09,35.72,1.01,7.5,2.1,42.25,35.39,22.88,341,3,22.92,Yes,Dump Truck,6935,28.85,92,23.46,High,Recycling Plant,6.57,77.55,45.33,52.44,44.08,40.08,55.96,126.93,25.92,Low,Composting
SWM_100031,Suburban Zone,District_B,42,2025-07-13,23:15,Commercial,CP_3262,32.991783,95.437348,Metal,Copper,311.18,3.39,59.74,40.87,2.03,7.81,28.64,39.54,0.41,2.22,2.31,36.14,21.48,12.49,126,1,83.99,Yes,Dump Truck,8133,11.53,28,26.8,Moderate,Waste Processing Unit,23.82,9.94,24.32,72.23,85.57,83.02,39.72,414.13,28.57,Low,Energy Recovery
SWM_100032,Suburban Zone,District_C,19,2025-03-03,03:13,Industrial,CP_7337,16.501284,93.993739,Plastic,Plastic Bags,30.14,1.21,22.67,2.65,14.51,29.15,16.86,53.56,12.26,3.42,2.59,28.25,64.27,32.17,47,5,69.93,No,Compactor Truck,3679,25.16,106,22.98,High,Recovery Center,43.61,29.45,94.85,76.36,14.01,86.85,48.74,540.95,96.98,High,Energy Recovery
SWM_100033,South Zone,District_F,44,2025-01-10,11:42,Hospital,CP_2661,20.331192,68.65161,Glass,Container,229.57,6.59,58.85,25.79,11.15,41.75,39.38,31.54,2.58,2.72,0.18,42.69,28.83,69.18,36,3,41.92,No,Compactor Truck,10415,33.7,134,26.75,Moderate,Waste Processing Unit,82.97,20.64,1.1,13.69,90.0,87.39,59.74,376.29,81.48,High,Landfill
SWM_100034,Suburban Zone,District_G,50,2025-06-19,06:32,Residential,CP_5963,13.085767,94.517946,Glass,Container,346.64,4.72,49.11,4.7,13.3,36.9,3.31,36.19,3.68,3.89,2.89,27.6,73.93,35.65,162,2,65.31,No,Auto Tipper,7108,29.09,126,27.22,High,Transfer Station,93.68,73.26,21.49,3.12,26.23,59.51,5.14,317.97,73.64,Low,Recycling
SWM_100035,South Zone,District_C,28,2024-10-27,03:54,Market,CP_7282,17.693073,90.356454,Paper,Newspaper,103.15,1.09,66.9,49.55,55.07,21.74,9.86,49.15,11.99,6.95,2.72,33.94,47.07,10.99,106,1,93.39,No,Auto Tipper,5224,9.07,55,38.11,High,Recovery Center,44.6,18.51,54.19,87.29,73.22,80.66,65.88,427.67,102.66,Low,Recycling
SWM_100036,Suburban Zone,District_A,30,2025-03-17,20:23,Industrial,CP_1652,15.240372,82.193324,Glass,Bottle,192.54,11.85,85.25,3.94,56.45,46.26,7.22,34.08,13.73,0.34,6.97,26.03,89.33,116.53,280,8,95.54,No,Mini Truck,10819,28.98,180,34.76,Moderate,Transfer Station,84.45,31.91,82.89,3.7,59.63,23.0,12.06,83.09,85.07,Medium,Composting
SWM_100037,Central Zone,District_A,35,2025-07-15,20:14,Industrial,CP_3928,17.856374,89.018236,Paper,Office Paper,70.98,3.92,50.86,79.07,25.5,31.29,35.44,36.95,3.49,0.24,8.7,18.57,85.6,63.47,212,7,95.13,Yes,Electric Vehicle,6318,48.13,81,39.92,High,Recycling Plant,35.07,76.72,40.19,47.99,62.75,87.37,98.41,470.23,53.04,Low,Landfill
SWM_100038,Industrial Zone,District_A,35,2024-09-01,05:33,Hospital,CP_7491,20.219353,89.389887,Organic,Garden Waste,206.25,1.5,35.14,28.72,23.7,11.68,1.68,1.07,14.82,4.28,3.84,36.35,36.37,114.0,119,2,82.91,Yes,Compactor Truck,3369,6.28,167,17.87,Moderate,Waste Processing Unit,87.91,94.47,46.74,61.34,16.7,99.12,23.17,567.93,79.71,Medium,Landfill
SWM_100039,Urban Zone,District_D,59,2024-08-26,18:33,Hospital,CP_9577,25.624367,82.867967,Paper,Magazine,199.92,2.28,23.74,18.64,62.37,17.51,2.31,58.15,13.26,9.28,9.95,22.7,49.72,90.99,50,2,75.68,No,Dump Truck,1627,10.08,42,33.0,High,Recycling Plant,22.44,22.38,53.7,59.29,58.01,9.15,87.75,188.74,19.89,Medium,Composting
SWM_100040,South Zone,District_F,60,2024-12-24,00:01,Hospital,CP_5947,33.773694,95.713893,Metal,Copper,692.46,9.75,60.7,55.09,6.96,20.42,14.91,15.59,10.85,4.96,0.81,23.94,71.24,9.14,235,1,88.1,Yes,Dump Truck,11697,30.21,25,20.26,Moderate,Recycling Plant,59.24,82.47,34.78,67.8,56.57,26.7,87.86,486.56,80.72,High,Composting
SWM_100041,Central Zone,District_E,40,2025-05-13,21:09,Market,CP_9833,32.66687,93.151532,Metal,Steel,572.52,10.08,64.29,68.01,49.49,37.64,6.34,52.85,13.08,0.29,8.26,21.48,45.13,89.22,55,6,32.86,No,Compactor Truck,8158,49.26,75,33.62,High,Composting Facility,50.75,0.64,28.7,61.69,98.12,63.18,25.98,395.04,67.1,Medium,Composting
SWM_100042,North Zone,District_G,59,2024-11-18,02:32,Commercial,CP_5668,30.615516,71.102439,Metal,Iron,613.6,6.59,86.85,34.19,50.61,46.6,4.1,56.23,10.32,0.68,3.01,37.12,25.05,69.86,32,7,47.67,Yes,Mini Truck,7788,37.63,173,3.74,Low,Transfer Station,87.15,97.35,96.89,74.97,13.01,75.83,2.46,52.39,42.22,Medium,Recycling
SWM_100043,Industrial Zone,District_B,15,2025-02-03,08:13,Commercial,CP_1296,22.170653,90.341815,Glass,Broken Glass,552.97,5.46,28.26,99.71,34.09,22.57,6.54,47.69,10.41,2.21,0.82,36.37,69.09,32.79,143,2,96.07,No,Auto Tipper,8547,9.91,155,18.43,Moderate,Recovery Center,94.36,41.97,63.85,39.76,27.42,98.4,40.93,540.7,31.44,Medium,Landfill
SWM_100044,Suburban Zone,District_H,60,2025-02-12,04:55,Market,CP_1205,14.180036,68.902888,Metal,Iron,528.3,4.55,78.47,47.32,77.46,9.28,34.74,46.6,11.56,8.45,7.61,34.91,29.84,3.9,204,6,93.67,No,Electric Vehicle,3486,37.38,123,32.27,High,Waste Processing Unit,48.15,11.73,12.52,68.56,43.03,20.05,49.16,75.96,71.93,High,Landfill
SWM_100045,East Zone,District_G,17,2025-06-15,03:00,Institutional,CP_1528,15.800809,91.129214,Metal,Aluminum,262.08,5.57,5.99,7.24,31.4,24.0,24.0,17.5,10.42,8.6,7.8,19.07,56.04,12.59,279,9,39.36,No,Mini Truck,4400,59.21,140,7.41,Moderate,Transfer Station,49.89,61.82,70.25,55.96,0.98,32.65,51.77,89.21,45.32,Medium,Composting
SWM_100046,Urban Zone,District_H,2,2025-04-16,07:49,Commercial,CP_3731,8.96289,70.278776,Paper,Office Paper,329.6,1.77,53.24,68.95,64.05,10.01,6.7,6.27,9.55,7.06,0.32,43.28,23.9,64.96,319,7,76.72,No,Mini Truck,5651,52.39,147,29.14,High,Waste Processing Unit,80.17,33.95,81.48,8.01,89.48,54.76,81.73,293.3,79.01,High,Landfill
SWM_100047,East Zone,District_G,39,2024-08-15,00:57,Residential,CP_2588,23.265677,89.216096,Glass,Container,83.67,0.91,26.0,15.95,69.74,10.96,39.03,20.21,2.73,7.9,6.59,31.45,61.65,86.3,141,4,38.28,Yes,Auto Tipper,5740,59.78,50,39.04,Low,Waste Processing Unit,65.03,19.95,68.02,7.22,3.07,25.77,46.26,526.23,88.62,Low,Recycling
SWM_100048,Industrial Zone,District_D,27,2024-12-23,19:42,Market,CP_5569,29.538489,80.339307,Glass,Broken Glass,289.83,4.58,88.95,4.01,69.36,28.93,17.54,43.52,7.3,8.73,9.01,29.39,40.76,71.08,215,2,92.99,No,Auto Tipper,9775,13.43,141,25.67,Moderate,Composting Facility,63.16,73.31,13.16,71.58,90.9,17.97,23.75,583.98,25.81,Medium,Landfill
SWM_100049,Urban Zone,District_E,53,2024-10-20,08:02,Institutional,CP_3571,32.777168,82.276058,Glass,Jar,212.84,10.47,42.85,51.48,28.74,29.65,6.54,23.46,14.54,2.58,6.57,26.78,78.01,15.7,234,5,97.59,Yes,Auto Tipper,6473,27.77,123,10.97,High,Composting Facility,7.35,16.98,51.98,33.7,82.89,43.09,24.87,385.6,86.28,Low,Landfill
SWM_100050,Suburban Zone,District_G,27,2025-02-01,09:02,Institutional,CP_4094,12.844215,72.860957,Organic,Food Waste,48.6,8.89,61.42,47.46,67.53,40.28,23.41,52.1,3.09,1.12,2.7,19.54,59.84,112.39,346,4,23.15,Yes,Auto Tipper,11156,8.2,133,19.18,Low,Recovery Center,93.39,31.62,50.72,4.16,14.83,98.66,96.51,42.77,114.46,Low,Recycling
SWM_100051,Suburban Zone,District_A,21,2024-11-01,15:11,Market,CP_5095,26.534478,93.169631,Mixed,Mixed Wet,374.7,6.28,46.55,66.69,11.17,1.5,12.32,42.28,3.03,6.73,9.7,20.54,70.45,53.25,321,8,89.45,Yes,Dump Truck,1372,11.45,158,28.32,High,Waste Processing Unit,83.81,94.46,68.32,49.72,61.78,86.89,57.06,57.02,112.06,Low,Energy Recovery
SWM_100052,West Zone,District_C,30,2024-09-10,17:01,Industrial,CP_4920,27.996276,87.618888,Metal,Steel,188.23,7.97,38.48,65.12,8.53,32.89,39.98,2.89,14.66,4.07,8.71,39.12,62.53,88.61,271,4,90.28,No,Compactor Truck,5800,24.84,21,14.43,Low,Composting Facility,66.76,80.78,76.23,79.78,43.56,81.78,12.02,344.91,5.66,Low,Energy Recovery
SWM_100053,Urban Zone,District_D,44,2024-08-14,11:07,Market,CP_8268,17.412989,78.627385,Glass,Jar,329.01,8.41,38.03,44.87,19.0,18.66,9.09,4.39,9.05,6.68,6.19,30.51,48.48,103.6,120,8,61.53,Yes,Auto Tipper,6427,29.27,45,2.97,Low,Waste Processing Unit,34.12,38.02,39.88,58.02,53.36,60.79,76.49,495.27,87.58,Low,Energy Recovery
SWM_100054,North Zone,District_A,44,2024-10-07,22:41,Hospital,CP_7657,35.710187,68.528745,Organic,Fruit Waste,172.71,0.29,60.04,89.8,19.48,46.35,2.41,56.07,5.27,1.01,4.86,24.93,41.37,36.87,227,2,84.24,No,Dump Truck,9803,32.81,35,13.83,High,Recovery Center,61.03,71.62,27.26,41.35,12.19,18.11,68.11,141.61,65.39,Low,Landfill
SWM_100055,North Zone,District_H,31,2024-08-31,16:34,Hospital,CP_1979,28.562342,71.099431,Metal,Iron,462.5,3.23,86.85,48.35,64.48,27.51,1.74,37.99,14.27,6.02,8.19,41.87,37.11,25.45,233,1,68.88,No,Electric Vehicle,9381,25.25,166,33.91,High,Waste Processing Unit,90.0,35.34,23.69,78.05,27.48,82.26,42.37,413.83,15.99,Medium,Composting
SWM_100056,South Zone,District_C,55,2025-02-05,17:16,Industrial,CP_2831,26.09192,81.101263,Organic,Garden Waste,477.55,2.18,67.63,86.28,17.34,4.79,0.95,38.52,9.11,5.47,2.32,28.55,64.59,59.61,217,7,99.02,No,Compactor Truck,4982,9.05,128,28.42,Low,Transfer Station,40.43,42.82,71.76,69.24,99.13,12.84,10.41,445.63,71.51,High,Landfill
SWM_100057,South Zone,District_H,58,2025-04-05,16:34,Hospital,CP_9053,15.950659,70.303162,Paper,Cardboard,86.81,10.75,21.31,32.34,18.13,17.75,2.78,31.14,1.01,8.0,2.34,32.58,86.01,78.11,163,6,62.64,No,Electric Vehicle,6417,20.14,120,14.65,High,Transfer Station,66.95,99.41,66.18,55.78,73.07,46.52,6.01,354.89,115.13,Low,Energy Recovery
SWM_100058,North Zone,District_C,10,2024-12-22,08:43,Market,CP_5725,13.083785,88.010142,Paper,Newspaper,176.73,6.52,13.22,45.04,60.49,17.38,26.6,47.73,13.91,2.35,3.99,22.12,94.44,111.24,143,6,63.2,No,Dump Truck,6024,50.68,45,21.8,High,Transfer Station,62.36,8.91,75.53,12.77,82.61,78.2,70.87,60.25,39.86,Medium,Recycling
SWM_100059,Urban Zone,District_E,10,2025-04-24,02:16,Hospital,CP_3106,15.630265,78.443956,Mixed,Mixed Wet,88.36,11.26,52.07,30.55,31.76,22.36,24.02,30.94,13.79,4.97,9.92,40.99,35.64,111.67,341,5,29.31,No,Dump Truck,11432,49.23,63,16.46,Low,Composting Facility,87.8,86.81,80.59,79.0,30.47,8.09,40.3,137.17,84.92,Low,Composting
SWM_100060,East Zone,District_A,17,2024-09-03,08:25,Industrial,CP_9332,18.036892,96.292696,Paper,Magazine,519.96,9.91,16.26,86.2,73.82,24.35,24.25,45.89,2.62,5.03,3.99,21.95,47.57,8.18,274,10,22.06,Yes,Dump Truck,11548,8.97,44,38.6,High,Recovery Center,54.95,96.58,43.25,31.18,50.61,43.95,10.57,398.86,29.84,Medium,Recycling
SWM_100061,Industrial Zone,District_G,56,2025-01-21,17:56,Institutional,CP_3770,25.968051,86.855832,Metal,Copper,138.58,0.92,71.36,45.98,4.65,49.74,2.31,41.7,14.76,2.39,1.42,21.28,42.75,12.13,119,8,75.37,No,Mini Truck,11956,4.68,21,21.36,Moderate,Composting Facility,99.67,81.4,61.52,30.63,62.39,52.7,42.61,113.2,106.96,Medium,Energy Recovery
SWM_100062,West Zone,District_C,18,2025-05-25,15:58,Market,CP_2959,21.043755,73.644053,Plastic,HDPE,306.85,5.09,75.34,73.36,61.54,0.55,16.65,28.88,0.29,2.6,7.6,21.7,60.15,25.82,212,8,20.97,No,Auto Tipper,11463,15.23,8,39.08,High,Recovery Center,80.15,95.96,48.79,10.97,54.8,45.44,84.44,94.93,61.15,High,Energy Recovery
SWM_100063,West Zone,District_F,43,2024-10-14,22:13,Residential,CP_7528,12.351411,77.415602,Mixed,Mixed Dry,595.14,5.82,36.95,39.45,36.76,39.25,35.68,57.32,11.8,3.15,6.88,29.82,39.1,100.9,198,9,23.07,Yes,Dump Truck,10065,54.2,141,19.54,High,Recovery Center,63.72,65.94,89.51,63.67,61.39,6.67,51.84,124.09,89.8,High,Landfill
SWM_100064,Urban Zone,District_D,16,2024-08-05,21:15,Industrial,CP_3993,22.854436,87.726606,Organic,Garden Waste,52.5,1.2,65.89,7.21,5.7,0.61,38.26,44.25,5.3,2.97,3.5,38.92,69.6,22.22,146,8,33.93,Yes,Mini Truck,10980,6.81,73,27.09,High,Transfer Station,76.44,26.5,2.09,8.22,96.79,29.54,76.92,389.81,48.92,High,Recycling
